,Full Name,0,1,fpts_2021
458,Patrick Laird,0.9977916,0.0022084392,5.1
459,Deon Yelder,0.9977916,0.0022084392,0.9999
460,Nsimba Webster,0.9977916,0.0022084392,0.0
461,Pharaoh Brown,0.9977916,0.0022084392,38.1
462,Keith Kirkwood,0.9977916,0.0022084392,4.5999
463,Darrel Williams,0.9977916,0.0022084392,195.99980000000002
464,Juwan Johnson,0.9977916,0.0022084392,52.9004
465,Alex Bachman,0.9977916,0.0022084392,-0.30000000000000004
466,Damien Harris,0.99779737,0.002202654,210.1005
467,John Bates,0.997814,0.0021860101,50.8997
468,Codey McElroy,0.9978384,0.0021615988,1.0
469,Dwayne Washington,0.99788195,0.0021180464,4.800599999999999
470,Tyler Conklin,0.99788195,0.0021180464,138.30010000000001
471,Tyler Davis,0.99788195,0.0021180464,7.4997
472,Tommy Sweeney,0.99788195,0.0021180464,19.3999
473,Jordan Scarlett,0.99788195,0.0021180464,0.0
474,Eric Saubert,0.99788195,0.0021180464,18.700000000000003
475,Mack Hollins,0.99788195,0.0021180464,60.3007
476,Wendell Smallwood,0.99788195,0.0021180464,8.7
477,K.J. Osborn,0.99788195,0.0021180464,158.49949999999998
478,Trent Taylor,0.99788195,0.0021180464,6.1
479,Collin Johnson,0.99788195,0.0021180464,21.5004
480,Chris Hogan,0.99798316,0.002016856,14.1
481,Lee Smith,0.99798316,0.002016856,21.5008
482,Luke Stocker,0.99798316,0.002016856,3.2004
483,Reggie Bonnafon,0.99806154,0.0019384818,3.6
484,Damiere Byrd,0.99809355,0.0019064794,64.89920000000001
485,Tommylee Lewis,0.99809355,0.0019064794,1.7
486,Eric Tomlinson,0.99809355,0.0019064794,1.7000000000000002
487,Daniel Brown,0.99809355,0.0019064794,4.8995999999999995
488,Richard Rodgers,0.99809355,0.0019064794,3.0999000000000003
489,Nick Boyle,0.99809355,0.0019064794,1.2
490,Diontae Spencer,0.99809355,0.0019064794,-3.3
491,Stephen Anderson,0.99809355,0.0019064794,38.4999
